id	filename	md5	size	state
9c5b9758-5dda-43f9-b458-064cf322f081	WANED_p_TCGAb_113_420_NSP_GenomeWideSNP_6_C08_1524118.nocnv_grch38.seg.v2.txt	e0e45828e38ae162a0ce24031fb2fcdf	29471	released
ca13c10b-3777-404a-879b-d16fa1cb1b46	b8461ae4-4b4c-4f6f-9ce5-cffd0fccfd5d.wxs.VarScan2.aliquot.maf.gz	d2a5c81789f2323c466fb9c30ed67bd2	430354	released
529528a4-96d3-471d-b8ba-166bcc9a225f	TCGA-CESC.5226b0ea-4fb0-42e9-af5d-6357e0fa47b1.arriba.rna_fusion.bedpe	4543f7d9e951c5b6104ec69f3e22f00a	944	released
b5e6b35d-5e73-455a-93a1-731994c5f4ad	WANED_p_TCGAb_113_420_NSP_GenomeWideSNP_6_D01_1524056.CEL	4cd0c8cdb2754629f984ba5431ffadcb	69081625	released
8f5a2258-9a14-428d-8571-fe4acef42aba	0adfcd04-d7b1-4a43-b3fa-4804aa5b06be.wxs.MuTect2.aliquot.maf.gz	46d2d0b56e5c612dd169fb2b65736c21	1873269	released
a94192f8-f0f7-4d7a-8148-8505de7f1f9a	TCGA-CESC.b59ffe1c-a7cc-4faf-bd73-9fc7d1eb2374.star_fusion.rna_fusion.tsv	7d344ba47226894b4b9d072e1509f5d9	8100	released
d6e8921e-de00-4f59-81c8-b057522bc739	nationwidechildrens.org_clinical.TCGA-VS-A9UP.xml	3dd4612f7c2d85170cbbf99b3a789911	103471	released
9625f885-dc4c-431f-8d6c-3133ece03a1c	TCGA_CESC.4e038bcc-0f20-43e3-b785-93eb13dc6907.wxs.MuSE.somatic_annotation.vcf.gz	a1f74e5371686d5f05130ef14a98aadc	449241	released
f5b0d36c-5cf7-404f-8593-94fcfd05d900	4985905e-febc-4d53-a9b0-de157e81e1eb_noid_Red.idat	9fc7feccc1a6df056709e2a0b3a91e22	8095311	released
f36cb4bf-b364-4932-b305-c39fdc2dc7de	af963e4e-f696-4bb4-ba6c-69825a866dbd.wxs.Pindel.aliquot.maf.gz	d686eb088ebee80ca6086b6edbd86bf5	47256	released
5556e484-873e-45cc-a620-e2e890fa1b49	e7cc77e0-e014-4845-8480-1972ceaad405.wxs.muse.raw_somatic_mutation.vcf.gz	29601055d7dfddf83569fa482bab9e2d	37529	released
fa6d8fac-21cd-4171-b700-ce677895e28c	5c85c15e-6387-4b18-a2b6-c43e1a8b433a.wxs.MuTect2.aliquot.maf.gz	963529eb44e85436ee97234c5369b75a	2373982	released
d94c42cb-8a87-47c7-83e2-e83290829e7f	b8598dd6-ab80-4a94-af5a-ac80758cad4e_noid_Red.idat	7bb30b2f24193ca174ca746ce33ec33b	8095296	released
cb77b4ab-b52c-48cb-b8a6-9285ed960877	7c2d1ee3-0e66-4760-8795-d4aaf422cf0f.rna_seq.genomic.gdc_realn.bam	9a1ce89bf5c517cb79bf2ba47bf3e5cd	2850294384	released
ba9b8437-ff5d-4f59-81f7-53a5120c0772	9292715d-c827-469f-96a5-bae20326cae4.rna_seq.chimeric.gdc_realn.bam	bf1989520481cc2754d64e5c457eb6e7	57090614	released
aa95bfbb-f229-4c12-b6e4-fff7cf512312	68bd7e1e-352d-457e-a510-d29f850aca0d.mirbase21.isoforms.quantification.txt	48e45edb9759074e03182e86c0ef54c8	354312	released
9959d8bf-b6d3-4c43-b6fa-b50c3039284e	TCGA-MA-AA3X-01A-22R-A42U-13_mirna_gdc_realn.bam	c774612eae495396d838a9f72e2b0eef	94819985	released
e57cc950-bcee-487b-a261-a61288dfc421	nationwidechildrens.org_auxiliary.TCGA-MA-AA3X.xml	6c5c522225632f7d0affc7ad9b2b9d5c	2307	released
331f231e-7482-4cf6-8b98-bac4005e2d23	SPAED_p_TCGAb_380_381_NSP_GenomeWideSNP_6_C04_1465280.nocnv_grch38.seg.v2.txt	917ca43eaf571934aadada8357392176	4748	released
c17fa024-abfd-4f9c-95b8-1ec1540dd734	WANED_p_TCGAb_113_420_NSP_GenomeWideSNP_6_G11_1524144.grch38.seg.v2.txt	3230c13590a8c2afa42993f0903c3d4a	28156	released
3d577e5c-52cd-413e-bdc5-e946153ebe6a	TCGA-C5-A8XK-01A-11R-A37P-13_mirna_gdc_realn.bam	0bab0971d1e881dff61b55a3e3cacadd	133708691	released
676df2bf-fd7a-4a48-99f9-d55a97791fce	nationwidechildrens.org_ssf.TCGA-C5-A8XK.xml	9d66ed2cbffc7c56cbccd493cce56dd5	15256	released
a79c2162-7e9d-4096-ac87-e1bbc20a6d74	68bd7e1e-352d-457e-a510-d29f850aca0d.mirbase21.mirnas.quantification.txt	b3404b63dc19a5762cc0b98ccc0fcb60	50320	released
386bc19f-734b-411a-a191-98da648c7331	db94fe09-be24-4d31-88e7-7edc6edae559.wxs.aliquot_ensemble_masked.maf.gz	9d242083161cdc577aedeb834917d7d9	79592	released
8fbacbc2-a196-45d1-8de3-288f483755af	TCGA-CESC.093d862d-4232-48fc-9e65-e0373a487c47.arriba.rna_fusion.bedpe	8dc6302710c22705cb3a3dafce16f9ec	1275	released
4ff5f9fd-7a6b-4fdb-9841-3a307765f44c	bea72e1c-de06-48ec-8e34-bd8bbf05a9ec.rna_seq.genomic.gdc_realn.bam	3e8b7ea0facdecf162221b9e847321a3	7012776032	released
5e461cda-4e82-4bb9-b4e1-da1f21a92af0	27c284ff-859c-484d-81d3-99962febb1dd.wxs.pindel.raw_somatic_mutation.vcf.gz	d18cea88c0061c9f4ace89c82102be8a	27225	released
e3dace2b-08bf-4a43-adb1-5c5c5ec2e76e	nationwidechildrens.org_ssf.TCGA-MA-AA3X.xml	5d2e72f7a4c3b64a52df555838d69fd9	15026	released
6c2f686d-5d99-4e02-aa23-b45748a4b049	SPAED_p_TCGAb_380_381_NSP_GenomeWideSNP_6_C05_1465256.nocnv_grch38.seg.v2.txt	4d5c631ce978e4e157d5a265a8b69e35	22916	released
98fd5ec4-4942-45a1-9190-1377689d093a	bea72e1c-de06-48ec-8e34-bd8bbf05a9ec.rna_seq.transcriptome.gdc_realn.bam	ecbfe25efb8f4656a3c37feaa72b1969	13379839832	released
c3b74332-ab09-4db7-9c44-a93cf4af5b37	0c83c0d6-6154-4e68-95b7-348c87a2aea5.wxs.VarScan2.aliquot.maf.gz	d0be389152be0e36d97f85a94e84d109	384225	released
0305470a-426e-45ae-97ad-242146df3def	2c9a7c78-d906-4b54-a727-0ec3362975c7_noid_Grn.idat	29f80c6191fc8da56422a1ba2948b4fa	8095293	released
69037019-9df5-493e-8067-d4078d78e518	TCGA-MA-AA3X-01Z-00-DX1.44657CDB-53F1-4DED-AE54-2251118565EA.svs	d52bae555ec9c6083d09f8b776f2611b	1661668707	released
0ae0d5ee-5b26-47c5-a355-5749238f0b76	9292715d-c827-469f-96a5-bae20326cae4.rna_seq.transcriptome.gdc_realn.bam	6b80e33f0a58595cb766785a03551d75	12462379986	released
fc037dde-4333-4ab7-b3a9-2b596cd16799	TCGA-C5-A8XK-01Z-00-DX1.DF0D3695-161F-4873-BAE9-27CEE0D4A7A0.svs	ac312ea452c05e1ed8fb4c9a0ee7dd96	45633948	released
41d7d62c-6106-433c-aa22-6cb537ac5904	TCGA_CESC.997d51d2-599d-4037-a14b-31607c8150ea.wxs.VarScan2.somatic_annotation.vcf.gz	4fbc0349120c021276ee60ca33d87fd3	520570	released
3d2d11ff-3e53-4f2d-96c9-eb4315862853	CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_A07_1039538.CEL	271fb588bd79be5d94fb8bac1a8efd1b	69073601	released
6cfa4bbc-2115-4b62-af47-58eb4c87fdc5	TCGA-CESC.ea1b4c3f-c309-4072-ab90-a2533f7494e8.star_fusion.rna_fusion.tsv	90ccb949d6b4d77637ce827791df1e12	1445	released
ce26f78d-f54b-41fa-9c0f-b90216c662f6	efe5f2b3-5655-47db-90ac-f57feb07b9b5.wxs.aliquot_ensemble_raw.maf.gz	cd2bd9ee3804804c7f8d75e0757ad970	179230	released
912252d9-ac75-41b2-8968-50486bef14e0	1b60783b-6f62-4ff4-bb88-5fc0b0effa8a.wxs.MuSE.aliquot.maf.gz	64db6cbb75b8ca6c97a3a281bfac2367	133096	released
b0a01036-7090-4514-8d63-e05d9638c532	WANED_p_TCGAb_113_420_NSP_GenomeWideSNP_6_G11_1524144.nocnv_grch38.seg.v2.txt	d936c96f5a7fc8f8693e76570907c4da	6797	released
fcc66f8e-27c3-4771-81f3-f452c0e1d869	bdae4d30-41ec-42c8-987f-fd21da81537e.wxs.MuSE.aliquot.maf.gz	efdbdef95cac04026405f9087eac9294	844887	released
ea806d2a-6b37-4af2-a8eb-d92d5720b02f	3c339e6b-fd5f-40b6-a0a7-9a54e7638574.mirbase21.mirnas.quantification.txt	8c09e09fafbcedff64b6cb7151332ff1	50220	released
747317d4-bc1b-4371-8ddf-0a37a3380440	5e6f7e0f-3683-47ef-adc2-c4aab2dc142e.wxs.MuTect2.aliquot.maf.gz	0793ab949459b4d42a008e78d2b74492	2164954	released
